family	genome_group	genome_detail	ictv_genome_values	dictionary_status	source_release	source_url
Endolinaviridae	DNA	DNA virus; ssDNA(+/-)	ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Endornaviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Epsomviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Eubullaviridae	DNA	DNA virus; ssDNA(+)	ssDNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Eupolintoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Eurekaviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Euroniviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Felixviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Fervensviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Fiersviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Filamentoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Filoviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Fimoviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Finnlakeviridae	DNA	DNA virus; ssDNA	ssDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Flaviviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Forsetiviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Fredfastierviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Fusagraviridae	RNA	RNA virus; dsRNA	dsRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Fusariviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Fuselloviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Fuxiviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Gammaflexiviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Gammaormycoviridae	RNA	RNA virus; ssRNA	ssRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Gandrviridae	DNA	DNA virus; ssDNA(+/-)	ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Geminiviridae	DNA	DNA virus; ssDNA; ssDNA(+/-)	ssDNA; ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Genomoviridae	DNA	DNA virus; ssDNA(+/-)	ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Geplanaviridae	DNA	DNA virus; ssDNA(+/-)	ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Giardiaviridae	RNA	RNA virus; dsRNA	dsRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Globuloviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Graaviviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Gresnaviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Grimontviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Groupodiviridae	DNA	DNA virus; ssDNA(+)	ssDNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Guelinviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Gulliviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Gulliviroviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Guttaviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hadakaviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hafunaviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hakuzoviridae	RNA	RNA virus; ssRNA	ssRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Halicoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Haloferuviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Halomagnusviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Halspiviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hantaviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Helgolandviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hepaciviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hepadnaviridae	RT	Reverse-transcribing virus; dsDNA-RT	dsDNA-RT	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hepeviridae	RNA	RNA virus; ssRNA(+); ssRNA(+/-)	ssRNA(+); ssRNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Herelleviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hirszfeldviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hodgkinviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
